coCode,membershipNo,agreementNo,acctClassify,transferFlag,rciRefNo,rciNominee,rciEnrolDate,rciExpiryDate,rciFeePaid
02,M00016/I,P00016,TM,NR,2185-00061,,2000-11-28 00:00:00,2001-11-28 00:00:00,
02,M00020/I,P00020,NA,NR,1704-00544,,2001-06-20 00:00:00,2022-06-20 00:00:00,
02,M00021/I,P00021,PT,NR,1704-03663,,2002-06-26 00:00:00,2004-06-26 00:00:00,
02,M00025/I,P00025,PT,NR,PENDING,,,,
02,M00028/I,P00028,PT,NR,1704-16458,,2003-06-10 00:00:00,2005-06-10 00:00:00,
02,M00033/I,P00033,PT,NR,PENDING,,,,
02,M00043/I,P00043,PT,NR,PENDING,,,,
02,M00046/I,P00046,PT,NR,1704-16177,,2001-12-27 00:00:00,2003-12-27 00:00:00,
02,M00051/I,P00051,NA,NR,1704-17079,,2014-06-02 00:00:00,2016-06-01 00:00:00,
02,M00052/I,P00052,PT,NR,1704-16802,,2009-08-27 00:00:00,2011-08-26 00:00:00,
02,M00054/I,P00054,PT,NR,PENDING,,,,
02,M00057/I,P00057,PT,NR,PENDING,,,,
02,M00067/I,P00068,PT,NR,PENDING,,,,
02,M00074/I,P00075,PT,NR,PENDING,,,,
02,M00079/I,P00080,PT,NR,1704-16073,,2001-04-18 00:00:00,2005-06-20 00:00:00,
02,M00080/I,P00081,PT,NR,1704-15982,,2000-08-15 00:00:00,2002-08-31 00:00:00,
02,M00107/I,P00109,NA,NR,1704-16433,,2003-03-30 00:00:00,2009-03-30 00:00:00,
02,M00110/I,P00112,PT,NR,PENDING,,,,
02,M00111/I,P00113,PT,NR,PENDING,,,,
02,M00113/I,P00115,NA,NR,PENDING,,,,
02,M00117/I,P00119,NA,NR,PENDING,,,,
02,M00129/I,P00131,PT,NR,PENDING,,,,
02,M00134/I,P00136,PT,NR,1704-16095,,2001-06-20 00:00:00,2003-06-20 00:00:00,
02,M00137/I,P00139,PT,NR,PENDING,,,,
02,M00139/I,P00141,TM,NR,PENDING,,,,
02,M00140/I,P01286,NA,NR,PENDING,,,,
02,M00145/I,P00148,PT,NR,PENDING,,,,
02,M00148/I,P00151,NA,NR,PENDING,,,,
02,M00154/I,P00157,TM,NR,PENDING,,,,
02,M00156/I,P00159,PT,NR,PENDING,,,,
